user_id,product_id,weight
55623,878,7
55623,1463,2
55623,2344,2
55623,3339,3
55623,3566,1
55623,3599,1
55623,4608,1
55623,4920,2
55623,5077,1
55623,5450,2
55623,5456,4
55623,5764,2
55623,5785,2
55623,6489,4
55623,7175,1
55623,7948,1
55623,8277,1
55623,8594,2
55623,9178,1
55623,9327,2
55623,9492,1
55623,9561,1
55623,12312,1
55623,12384,1
55623,12404,3
55623,12807,1
55623,13176,7
55623,13212,1
55623,13988,1
55623,14651,1
55623,14678,1
55623,15950,1
55623,16525,1
55623,16759,4
55623,16797,3
55623,16848,1
55623,17600,1
55623,18234,1
55623,18531,1
55623,18770,3
55623,19048,2
55623,19895,2
55623,19937,1
55623,21137,1
55623,21174,1
55623,21405,3
55623,21429,1
55623,21526,1
55623,21616,3
55623,22451,1
55623,22825,2
55623,24184,1
55623,24231,2
55623,24830,1
55623,24852,1
55623,25552,1
55623,26453,1
55623,26856,6
55623,27544,1
55623,27744,2
55623,27845,8
55623,27958,1
55623,27966,10
55623,28058,1
55623,28289,10
55623,28826,1
55623,28985,1
55623,29388,1
55623,29658,1
55623,29993,2
55623,30122,1
55623,30720,1
55623,30918,4
55623,31847,2
55623,31869,1
55623,32293,1
55623,32467,1
55623,32734,1
55623,33000,13
55623,33232,1
55623,34243,3
55623,35209,1
55623,35503,1
55623,35688,1
55623,37307,1
55623,37442,1
55623,37646,3
55623,38274,1
55623,38647,18
55623,38777,3
55623,39097,1
55623,39527,4
55623,39928,3
55623,40691,2
55623,40706,7
55623,41149,1
55623,41165,14
55623,41220,1
55623,41540,2
55623,42356,1
55623,42701,2
55623,42706,1
55623,42944,1
55623,43338,3
55623,43768,1
55623,44359,2
55623,44683,4
55623,44910,1
55623,45007,1
55623,45200,4
55623,45664,1
55623,47209,1
55623,47630,2
55623,47734,2
55623,48364,3
55623,48697,7
55623,48720,11
55623,48848,4
55623,49006,1
55624,160,1
55624,260,1
55624,310,3
55624,812,1
55624,1710,8
55624,1999,1
55624,2312,1
55624,2361,3
55624,3264,1
55624,3740,1
55624,3952,1
55624,4142,21
55624,4294,1
55624,4472,1
55624,4508,2
55624,4698,1
55624,5450,1
55624,5764,1
55624,5769,1
55624,5858,1
55624,5933,1
55624,6415,1
55624,7485,11
55624,7952,1
55624,8033,3
55624,8277,1
55624,8518,1
55624,9020,3
55624,9480,1
55624,9741,1
55624,10126,1
55624,10199,2
55624,10246,1
55624,10385,1
55624,10482,1
55624,10753,1
55624,11140,1
55624,11930,1
55624,12341,5
55624,12409,1
55624,13176,8
55624,13340,4
55624,13380,1
55624,13524,1
55624,13646,20
55624,13712,1
55624,13741,1
55624,14095,1
55624,14259,1
55624,14409,1
55624,14568,1
55624,15626,1
55624,16262,1
55624,16349,2
55624,16730,1
55624,16757,1
55624,16759,2
55624,17038,1
55624,17619,1
55624,17672,1
55624,18719,1
55624,18923,1
55624,18946,1
55624,19048,1
55624,19154,1
55624,19775,1
55624,20383,11
55624,20632,1
55624,21327,1
55624,21403,1
55624,21709,4
55624,21903,1
55624,21999,1
55624,22293,1
55624,22310,1
55624,22733,2
55624,22828,1
55624,22935,2
55624,23047,2
55624,23783,1
55624,23804,1
55624,23848,1
55624,24219,1
55624,24818,1
55624,24964,1
55624,25097,2
55624,25269,1
55624,25659,1
55624,25773,1
55624,25965,5
55624,26182,4
55624,26283,1
55624,26488,1
55624,26981,1
55624,27172,2
55624,27695,2
55624,28230,1
55624,28366,1
55624,28782,1
55624,29071,3
55624,29231,1
55624,29341,1
55624,29952,1
55624,30450,1
55624,30489,1
55624,30592,4
55624,30710,1
55624,31093,13
55624,31225,1
55624,33642,1
55624,33897,1
55624,34310,1
55624,34426,1
55624,34530,3
55624,34680,1
55624,34969,2
55624,35221,1
55624,35504,1
55624,35561,1
55624,35842,1
55624,36724,1
55624,37067,1
55624,37173,1
55624,37538,3
55624,38650,1
55624,38694,4
55624,38861,1
55624,39178,1
55624,39182,1
55624,39228,1
55624,39462,2
55624,39518,1
55624,40002,4
55624,40632,1
55624,40706,2
55624,40780,1
55624,41433,2
55624,41676,2
55624,41950,1
55624,42307,2
55624,42445,1
55624,42719,6
55624,42919,1
55624,43154,1
55624,43830,1
55624,43961,1
55624,44182,6
55624,44201,2
55624,44329,2
55624,44359,2
55624,44389,3
55624,44661,1
55624,45276,1
55624,45603,2
55624,45613,1
55624,45788,1
55624,46069,2
55624,46443,2
55624,46524,1
55624,46667,3
55624,47512,3
55624,47734,1
55624,47766,1
55624,48034,3
55624,48038,1
55624,48110,2
55624,48195,1
55624,48222,1
55624,48364,1
55624,48679,3
55624,49401,1
55625,1689,5
55625,6184,1
55625,6901,1
55625,9076,4
55625,12341,6
55625,16797,3
55625,17976,1
55625,19660,2
55625,23423,3
55625,26900,8
55625,30827,1
55625,32689,1
55625,43352,6
55626,63,1
55626,260,1
55626,283,1
55626,329,1
55626,781,1
55626,952,3
55626,1244,1
55626,1335,1
55626,1359,2
55626,2078,8
55626,2163,1
55626,2295,1
55626,2923,3
55626,2962,1
55626,2966,1
55626,3020,1
55626,3298,2
55626,3591,1
55626,3952,3
55626,3957,3
55626,4210,1
55626,4605,3
55626,4920,2
55626,5022,1
55626,5077,1
55626,5114,1
55626,5539,5
55626,5621,2
55626,5652,7
55626,5690,2
55626,5874,1
55626,6046,3
55626,6104,27
55626,6194,1
55626,6873,1
55626,7010,2
55626,7014,2
55626,7054,40
55626,7175,2
55626,7537,1
55626,7649,1
55626,7923,1
55626,7948,2
55626,8123,1
55626,8518,23
55626,8575,1
55626,9020,11
55626,9354,1
55626,10017,3
55626,10110,1
55626,10305,1
55626,10492,1
55626,10621,1
55626,10749,3
55626,10831,14
55626,11782,2
55626,12020,4
55626,12341,11
55626,12384,45
55626,12756,28
55626,12932,1
55626,12955,1
55626,13176,50
55626,13984,3
55626,13988,1
55626,14197,1
55626,14211,2
55626,14284,4
55626,15115,1
55626,15398,3
55626,15519,1
55626,16145,1
55626,16797,2
55626,17794,52
55626,17948,7
55626,18234,37
55626,18441,4
55626,18656,29
55626,18849,1
55626,18889,1
55626,19048,2
55626,19248,1
55626,19280,1
55626,19370,1
55626,19446,1
55626,19508,1
55626,19678,2
55626,19706,1
55626,20114,2
55626,20380,2
55626,20460,12
55626,20734,4
55626,20810,1
55626,20957,1
55626,21137,11
55626,21737,2
55626,21903,30
55626,21938,7
55626,22169,1
55626,22210,1
55626,22417,1
55626,22935,48
55626,22969,1
55626,23198,1
55626,23291,6
55626,23405,1
55626,23527,4
55626,23537,1
55626,23726,1
55626,23986,2
55626,24024,4
55626,24184,1
55626,24834,6
55626,24852,1
55626,24964,11
55626,25340,3
55626,25552,1
55626,25659,2
55626,25890,1
55626,26209,42
55626,26369,50
55626,26384,1
55626,26604,4
55626,26751,1
55626,27086,2
55626,27104,14
55626,27336,1
55626,27644,1
55626,27767,1
55626,27845,22
55626,27925,2
55626,27966,2
55626,28071,1
55626,28199,1
55626,28204,1
55626,28378,2
55626,28842,4
55626,28985,1
55626,29254,1
55626,29898,3
55626,29941,1
55626,30233,12
55626,30305,2
55626,30489,2
55626,30720,3
55626,30756,1
55626,30994,1
55626,31342,1
55626,31343,1
55626,31469,14
55626,31557,1
55626,31612,1
55626,31717,34
55626,31915,12
55626,31955,1
55626,32433,1
55626,32655,8
55626,32717,1
55626,32935,3
55626,32989,1
55626,33055,1
55626,33314,1
55626,33503,3
55626,33572,2
55626,34134,4
55626,34521,1
55626,34530,1
55626,34590,1
55626,34668,2
55626,35233,1
55626,35461,1
55626,35633,1
55626,35687,1
55626,35725,1
55626,35769,1
55626,35939,7
55626,35951,1
55626,36082,4
55626,36929,1
55626,37065,4
55626,37067,11
55626,37288,2
55626,37646,2
55626,38159,2
55626,38223,1
55626,38557,1
55626,38647,3
55626,38650,1
55626,38777,1
55626,38838,1
55626,38984,2
55626,38985,1
55626,39247,1
55626,39275,3
55626,39475,2
55626,39748,1
55626,39911,2
55626,39928,8
55626,40604,1
55626,40706,1
55626,40723,5
55626,41125,1
55626,41220,2
55626,41588,8
55626,41636,2
55626,41665,2
55626,41844,1
55626,41950,9
55626,42345,2
55626,42380,1
55626,42507,2
55626,42585,1
55626,42633,2
55626,42736,1
55626,42768,1
55626,43122,14
55626,43726,1
55626,43768,1
55626,43875,2
55626,43891,1
55626,44056,3
55626,44359,1
55626,44787,9
55626,45007,24
55626,45615,2
55626,46667,10
55626,46720,1
55626,46906,6
55626,46949,2
55626,46969,5
55626,47209,5
55626,47492,1
55626,47553,1
55626,47616,1
55626,47734,1
55626,47766,4
55626,47792,1
55626,48104,1
55626,48205,1
55626,48679,10
55626,48745,7
55626,48848,4
55626,49324,8
55626,49383,16
55626,49533,1
55626,49655,1
55627,34,8
55627,1890,4
55627,2227,2
55627,2537,3
55627,3717,4
55627,4900,2
55627,4957,8
55627,5020,3
55627,6975,3
55627,8424,4
55627,10006,1
55627,10895,3
55627,12276,2
55627,13113,3
55627,13605,1
55627,13848,4
55627,14778,1
55627,15107,4
55627,20670,3
55627,20995,1
55627,21267,1
55627,22963,7
55627,26298,2
55627,26706,1
55627,27599,1
55627,28123,1
55627,28431,2
55627,31433,1
55627,31663,1
55627,32116,1
55627,33754,8
55627,34128,1
55627,34565,1
55627,36076,1
55627,38656,2
55627,38689,4
55627,40531,2
55627,42110,1
55627,43749,1
55627,47591,1
55627,49499,6
55628,5258,4
55628,9358,1
55628,21195,2
55628,23662,1
55628,35866,1
55629,2433,1
55629,4724,1
55629,8571,1
55629,13176,1
55629,14161,1
55629,15872,1
55629,17207,1
55629,20345,1
55629,21137,1
55629,21573,1
55629,21903,1
55629,30486,1
55629,30827,1
55629,31805,1
55629,37687,1
